region,year,avg-house-price
East of England,2021,377975.6666666666
East of England,2022,398164.3333333333
East of England,2023,388044.8333333333
London,1993,81123.5
London,1994,87340.75
London,1995,89538.5
London,1996,93915.25
London,1997,105361.75
London,1998,115087.25
London,1999,141002.75
London,2000,163581.5
London,2001,181733.25
London,2002,205567.75
London,2003,236627.5
London,2004,272886.25
London,2005,282548.5
London,2006,305544.0
London,2007,342122.249557733
London,2008,351494.4743434187
London,2009,338119.7832318514
London,2010,384645.7973682443
London,2011,401488.578103283
London,2012,410379.4425499657
London,2013,427753.10461218416
London,2014,469545.6970101313
London,2015,513812.0133333333
London,2016,534271.8582202978
London,2017,535731.7834838282
London,2018,538132.3270282478
London,2019,538042.8221467392
London,2020,575275.75
London,2021,602646.8333333333
London,2022,613645.5833333333
London,2023,590299.25
South East,1993,76855.0
South East,1994,82340.75
South East,1995,82829.25
South East,1996,87081.5
South East,1997,94446.75
South East,1998,106629.5
South East,1999,120633.25
South East,2000,142917.75
South East,2001,156118.75
South East,2002,178435.5
South East,2003,210778.75
South East,2004,237000.0
South East,2005,243536.75
South East,2006,256889.25
South East,2007,278054.015140777
South East,2008,285142.86720392783
South East,2009,273968.2990392522
South East,2010,309300.6485710642
South East,2011,301356.16149588185
South East,2012,303034.34125839913
South East,2013,305034.34268045076
South East,2014,330010.29418617714
South East,2015,356036.2841666667
South East,2016,374839.0884306252
South East,2017,379278.00134371576
South East,2018,381838.89933081897
South East,2019,380670.70224547246
South East,2020,404280.9166666666
South East,2021,425552.0
South East,2022,452006.5
South East,2023,432212.25
South West,1993,60991.75
South West,1994,64761.5
South West,1995,65092.25
South West,1996,67720.0
South West,1997,72515.75
South West,1998,80121.25
South West,1999,88531.25
South West,2000,104084.75
South West,2001,117819.5
South West,2002,141370.75
South West,2003,170698.5
South West,2004,197925.5
South West,2005,204686.0
South West,2006,213586.0
South West,2007,230884.5964114754
South West,2008,230085.21569332114
South West,2009,220403.64460187897
South West,2010,239923.69921341597
South West,2011,232170.61163474913
South West,2012,232471.25456404805
South West,2013,230048.43515843072
South West,2014,243527.7905617101
South West,2015,259478.65499999997
South West,2016,270430.4685200254
South West,2017,277220.9389043513
South West,2018,282963.33323493256
South West,2019,284883.61889880954
South West,2020,303896.25000000006
South West,2021,325525.1666666667
South West,2022,346502.1666666667
South West,2023,338400.5
Wales,1993,52465.0
Wales,1994,52798.25
Wales,1995,52921.25
Wales,1996,54781.5
Wales,1997,58300.75
Wales,1998,61017.25
Wales,1999,67191.25
Wales,2000,72164.75
Wales,2001,79268.0
Wales,2002,87978.25
Wales,2003,110846.5
Wales,2004,138141.25
Wales,2005,149979.25
Wales,2006,157456.5
Wales,2007,169848.39014033435
Wales,2008,169947.62031770713
Wales,2009,165658.79677319934
Wales,2010,171528.76471229404
Wales,2011,164572.2637980866
Wales,2012,164654.1800251387
Wales,2013,168734.19051988533
Wales,2014,177771.0330317873
Wales,2015,178414.53416666668
Wales,2016,181876.52351881823
Wales,2017,183682.7254683331
Wales,2018,187548.0379540708
Wales,2019,189731.55093448347
Wales,2020,201036.6666666667
Wales,2021,225075.49999999997
Wales,2022,241318.16666666666
Wales,2023,235621.41666666666
Scotland,1993,48892.25
Scotland,1994,50224.25
Scotland,1995,53024.0
Scotland,1996,56358.0
Scotland,1997,57396.75
Scotland,1998,63241.0
Scotland,1999,68847.0
Scotland,2000,69500.25
Scotland,2001,73447.5
Scotland,2002,76877.25
Scotland,2003,95006.0
Scotland,2004,118931.5
Scotland,2005,129631.25
Scotland,2006,137191.25
Scotland,2007,158798.11979979152
Scotland,2008,168593.32724257215
Scotland,2009,174433.2757585688
Scotland,2010,184806.05651777546
Scotland,2011,179863.03205583736
Scotland,2012,180494.42706335246
Scotland,2013,181288.90610941054
Scotland,2014,190992.2594846235
Scotland,2015,193411.08
Scotland,2016,187250.43113682233
Scotland,2017,185004.5426788826
Scotland,2018,190464.24209893108
Scotland,2019,192538.12369405036
Scotland,2020,201857.0
Scotland,2021,218216.83333333334
Scotland,2022,230147.08333333334
Scotland,2023,229709.25
